,Unnamed: 0.1,Unnamed: 0,Question,Answer,keywords,count
0,0,0,Q[교환/반품] 상품을 교환/반품하고 싶어요.,"교환 및 반품은 사용하지 않은 상품에 한하여 가능하며 고객님께서 마이쿠팡을 통해 직접 쉽고 빠르게 교환/반품을 신청할 수 있습니다. 상품을 회수한 후 검수 단계에서 문제가 발견되면 고객님께 연락을 드릴 수 있습니다. 교환은 기본적으로 구매 상품과 동일한 상품으로만 가능합니다. 색상 및 사이즈 변경을 원하시면 반품 후 재구매를 해 주시기 바랍니다. 
 교환/반품 신청하기 
마이쿠팡 → 주문목록 → 상품선택 → [교환 반품 신청] 선택 
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 회수/배송/비용 안내 (클릭)
 교환/반품 가능 기간 (클릭)
 판매자 정보 확인하기 (클릭)",CANCEL,0
1,1,1,Q[반품] 상품의 포장을 훼손했는데 반품할 수 있나요?,"상품의 포장도 상품의 가치 중 하나로 인정받는 상품이 있습니다. 이러한 상품의 포장이 훼손되어 상품의 가치가 감소했다면 단순 변심에 의한 반품이 불가합니다. 예를 들어 의류의 태그 신발의 박스 전자제품의 박스와 비닐이 훼손 및 누락된 경우 등이 해당합니다. 상품 회수 후 검수 단계에서 이러한 문제가 발견되면 고객님께 연락을 드릴 수 있으며 반품이 불가한 상품은 다시 반송해 드립니다. 상품별 반품 세부내용은 상품 상세페이지를 확인해 주시기 바랍니다.
 이와 별도로 상품의 포장이 아닌 택배의 박스나 비닐이 훼손된 경우 배송직원 또는 택배기사가 상품을 회수할 수 있도록 다른 박스에 재포장하여 반품해 주시기 바랍니다.
 반품 신청하기
마이쿠팡 → 주문목록 → 상품선택 → [교환 반품 신청] 
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 교환/반품 제한사항 (클릭)",CANCEL,0
2,2,2,Q[교환/반품] 교환/반품이 가능한 기준은 무엇인가요?,"미사용 상품에 한하여 교환/반품이 가능합니다. 상품을 회수한 후 검수 단계에서 문제가 발견될 시 고객님께 연락을 드릴 수 있습니다. '전자상거래 등에서의 소비자보호에 관한 법률'에 의거하여 상품 수령 후 7일 이내 교환/반품을 요청할 수 있습니다. 단 로켓배송 상품의 경우 배송 완료 후 30일 이내 로켓모바일 상품은 주문일 포함 14일 이내로 교환/반품이 가능합니다. 세부내용은 아래를 참고하시기 바랍니다.
 교환/반품 신청하기
마이쿠팡 → 주문목록 → 상품선택 → [교환 반품신청] 
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 교환/반품 가능 기간 (클릭)
 교환/반품 제한사항 (클릭)",CANCEL,0
3,3,3,Q[반품비] 반품 비용은 누가 부담하나요?,"귀책사유에 따라 반품 비용의 부담 주체가 다릅니다. 상품 불량/파손/오배송 등 판매자의 귀책인 경우에는 고객에게 교환/반품 비용이 발생하지 않습니다. 그러나 구매자의 단순 변심인 경우에는 고객에게 반품 비용이 부담될 수 있습니다.
 구매자 단순 변심의 경우 (클릭)
 반품 비용 확인 방법 (클릭)",CANCEL,0
4,4,4,Q[교환/반품] 교환/반품 신청을 철회하고 싶어요.,"교환/반품할 상품이 아직 회수되지 않았거나 교환 받을 상품이 아직 발송되지 않은 경우라면 마이쿠팡을 통해 직접 철회가 가능합니다.
 교환 철회하기
마이쿠팡 → 취소∙반품∙교환목록 → 상품선택 → [교환취소] 
 반품 철회하기
마이쿠팡 → 취소∙반품∙교환목록 → 상품선택 → [접수취소]",CANCEL,0
5,5,5,Q[회수] 반품하려는 상품은 어떻게 포장해야 하고 어떻게 보내야 하나요?,"먼저 마이쿠팡을 통해 직접 반품 신청을 부탁드립니다. 그 다음 반품할 상품을 재포장하여 반품 신청 시 선택한 회수지에 상품을 보관해 주세요. 이후 배송직원 또는 택배기사가 방문하여 반품 상품을 회수해 갑니다. 상품 유형에 따라 회수 일정이 다르니 아래의 세부내용을 참고해 주시기 바랍니다.
 반품 재포장 방법 (더 보기)
 반품 접수 후 회수 일정 안내 (더 보기)
 판매자 배송 상품의 반품 상품을 직접 발송할 경우 (더 보기)
 판매자 정보 확인하기 (더 보기)",CANCEL,0
6,6,6,Q[취소] 배송 전 주문을 취소했는데 상품이 배송됐습니다.,"상품 준비 중 상태에서 주문을 취소했고 판매자가 아직 상품을 발송하지 않았다면 배송을 취소할 수 있습니다. 그러나 판매자가 이미 상품을 발송했다면 배송을 취소할 수 없습니다. 이 경우 상품이 배송되었을 때 택배기사에게 수취거부를 말씀해 주시기 바랍니다.
 주문 취소 이후 배송 예정 안내를 받은 경우
택배기사에게 연락을 받으시면 수취거부를 말씀해 주세요.
 주문 취소 이후 수취거부를 요청하지 못해 상품을 수령한 경우
수령한 상품에 대해 회수가 필요하니 쿠팡 고객센터 또는 판매자에게 연락을 부탁드립니다.
 주문 취소 이후 상품을 수령하였으나 그냥 사용하기를 희망하는 경우
수령한 상품에 대해 재결제가 필요하니 쿠팡 고객센터 또는 판매자에게 연락을 부탁드립니다. 
 판매자 정보 확인하기 (클릭)",CANCEL,0
7,7,7,Q[취소] 상품을 취소하고 싶어요.,"상품의 주문 취소는 고객님께서 마이쿠팡을 통해 직접 할 수 있습니다. 단 마이쿠팡 주문목록에서 [주문취소] 버튼이 보이지 않는다면 배송상태에 따라 취소가 불가능한 시점이니 이 경우엔 반품으로 진행해 주시기 바랍니다. 주문 취소 및 반품의 조건은 각 상품마다 다르니 자세한 내용은 상품의 상세페이지를 확인해 주세요.  
 주문 취소하기
• 마이쿠팡 → 주문목록 → 상품선택 → [주문취소] 선택
• 이후 각 단계에 해당하는 항목을 선택하여 취소를 완료합니다.
 반품 신청하기
• 마이쿠팡 → 주문목록 → 상품선택 → [교환 반품 신청] 선택
• 이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.",CANCEL,0
8,8,8,Q[반품] 마이쿠팡에서 반품접수가 안돼요.,"반품 기간이 경과한 이후에는 마이쿠팡을 통해 교환/반품 접수가 불가합니다. 또한 주문제작 설치배송상품 신선/냉장/냉동 순금 업체직송상품 등의 상품은 출고된 이후 마이쿠팡에서 교환/반품 접수가 불가합니다. 상품에 따라 교환/반품 조건이 다르므로 정확한 내용은 구매한 상품의 상세페이지 내 배송/교환/반품/판매자 안내를 참고하시기 바랍니다. 상품에 문제가 있거나 제공한 내용과 다른 경우에는 고객센터 또는 판매자에게 문의 부탁드립니다.   
 교환/반품 가능 기간 (클릭)
 판매자 정보 확인하기 (클릭)",CANCEL,0
9,9,9,Q[취소 철회] 주문취소 신청을 철회(취소)하고 싶어요.,배송 상품은 주문을 취소하면 바로 결제 취소가 적용되어 이후 주문취소를 철회(취소) 할 수 없습니다. 이미 주문취소를 하셨다면 재구매를 부탁드립니다.,CANCEL,0
