,Unnamed: 0.1,Unnamed: 0,Question,Answer,keywords,count
0,0,0,Q[영수증] 현금영수증 또는 신용카드 매출전표는 어떻게 받나요?,"상품을 구매하면 영수증/매출전표는 자동으로 발급됩니다. 단 PC 웹사이트에서는 개별 확인 일괄 확인 출력까지 모두 가능하나 모바일에서는 각 주문 개별로만 확인할 수 있습니다.
 • 대금 결제 후 (대금 송금 후) 24시간 이후부터 영수증 조회 및 출력이 가능합니다.
• 직구 상품은 판매자가 해외에 사업장을 가지고 있어 해외의 법을 적용받아 현금영수증을 발행하지 않습니다.
 영수증 확인 및 출력하기 (클릭)
 이미지로 확인하기 (클릭)
 현금영수증 신청하기 (클릭)
 현금영수증 소득공제 혜택을 위한 정보 (클릭)",ORDER,0
1,1,1,Q[현금영수증] 현금영수증을 신청하지 못했는데 어떻게 해야 하나요?,"쿠팡은 국세청이 지정한 코드(010-000-1234)로 고객님의 현금영수증을 자진 발급하고 있습니다. 현금영수증 자진 발급 건에 대해 현금영수증 신청을 원하실 경우 결제일 다음 날부터 국세청 홈페이지에서 직접 현금영수증을 발행 받을 수 있습니다. 단 직구 상품은 판매자가 해외에 사업장을 가지고 있어 해외의 법을 적용받아 현금영수증을 발행하지 않습니다.
 자진발급분 등록 방법 (클릭)",ORDER,0
2,2,2,Q[쿠페이] 쿠페이 현금영수증을 다시 설정하려면 어떻게 하나요?,"쿠페이에 등록된 현금영수증 설정은 아래 경로를 통해 고객님께서 직접 변경하실 수 있습니다.
 현금영수증 설정 변경하기
마이쿠팡 → 결제수단∙쿠페이 → [현금영수증 설정] 선택 후 정보 변경",ORDER,0
3,3,3,Q[쿠팡 와우카드] 쿠팡 와우카드 연회비는 얼마인가요?,"쿠팡 와우카드의 연회비는 2만원입니다.
 단 일부 고객은 KB국민카드 정책에 따라 연회비 금액이 다르게 적용될 수 있습니다.
 쿠팡 와우카드 전담센터(쿠팡페이 고객센터) : ☎1670-9892 (365일 24시간 운영)",ORDER,0
4,4,4,Q[신용카드] 카드 즉시할인은 어떻게 확인할 수 있나요?,"각 카드사에서 제공하는 즉시할인은 프로모션 혜택 페이지와 상품 페이지 그리고 주문/결제 페이지에서 확인할 수 있습니다. 카드 즉시할인이 적용되면 결제 전 주문/결제 페이지의 최종 결제금액에서 [카드 즉시할인(OO카드) -0000원] 문구가 노출됩니다. 
 유의사항
• 카드 즉시할인은 쿠팡 모바일 앱과 PC 웹사이트에서만 적용됩니다. (모바일 웹은 적용 불가)
• 법인 기프트 선불 체크카드는 즉시할인 혜택에서 제외됩니다. (단 일부 체크카드는 적용되는 경우 있음)
• 카드 즉시할인은 카드사 및 당사 사정으로 기간 내 예고 없이 조기종료/재개/할인율이 변경될 수 있습니다.
• 행사 제품마다 선착순 할인으로 제공되며 순차 완료(마감) 되면 할인 혜택이 적용되지 않을 수 있습니다.
• 선착순 제공 기준은 상품별/카드사별로 다를 수 있습니다.
• 즉시할인 결제 시에는 쿠팡캐시를 사용한 결제는 불가합니다.
• '할인율 및 적용대상' 상품은 실시간으로 변동될 수 있습니다. 
• 카드 즉시할인 혜택은 각 카드별 1일 1회만 적용됩니다.
• 카드 즉시할인 혜택이 적용된 주문을 취소해도 해당 혜택이 반드시 복구되는 것은 아닙니다. (재주문 시점에 프로모션이 이미 종료된 경우 등)",ORDER,0
5,5,5,Q[신용카드] 신용카드 무이자 할부가 가능한가요?,일반 신용카드 및 쿠페이에 등록한 신용카드로 5만원 이상 결제 시 할부가 가능합니다. 단 무이자 할부 가능 여부는 주문서 페이지에서 할부 개월을 선택하면 확인할 수 있습니다. 결제를 할 때에도 카드 설정 칸 아래에 [무이자 할부 및 할인 혜택]에서 각 카드사별 무이자 할부 혜택을 확인할 수 있습니다. 무이자 할부 혜택은 매월 새롭게 변경되고 카드사별로 무이자 할부 기준이 다르기에 보다 자세한 내용은 이용하시는 카드사로 문의해 주시기 바랍니다.,ORDER,0
6,6,6,Q[세금계산서] 세금계산서를 발급받고 싶어요,"2015년 7월 16일 이후 결제된 주문 건은 영수증/매출전표가 자동으로 발급됩니다. 신용카드 매출전표와 현금영수증이 발행되므로 '부가가치세법 제33조(세금계산서 발급의무의 면제 등)'에 의거하여 쿠팡에서는 별도로 세금계산서를 발행하지 않습니다.
 • 영수증/매출전표 출력과 거래명세서 확인은 PC 웹사이트에서만 가능합니다. (모바일 앱과 모바일 웹에서는 불가)
• 대금 결제 후 (대금 송금 후) 24시간 이후부터 영수증 조회 및 출력이 가능합니다.
• 직구 상품은 판매자가 해외에 사업장을 가지고 있어 해외의 법을 적용받아 현금영수증을 발행하지 않습니다.
 영수증 확인 및 출력하기 (클릭)",ORDER,0
7,7,7,Q[쿠페이] 쿠팡 쿠페이(Coupay)란 무엇인가요?,"쿠페이(Coupay)란 쿠팡이 제공하는 쉽고 빠르고 안전한 간편 결제 서비스입니다. 아래의 경로를 통해 은행계좌 또는 신용/체크카드 정보를 최초 1회만 등록해 주세요. 번거로운 공인인증서나 보안카드/OTP 기기 대신 고객님께서 설정한 비밀번호를 사용하여 쉽고 빠른 결제가 가능합니다. 또는 쿠페이 머니 전용 충전 계좌를 발급받은 후 금액을 미리 충전(이체) 하여 사용하실 수도 있습니다.
 쿠페이 등록하기
마이쿠팡 → 결제수단∙쿠페이 → 결제수단 → 결제수단 등록",ORDER,0
8,8,8,Q[결제수단] 이미 주문했는데 결제 수단을 변경할 수 있나요?,"아니요. 상품을 주문/결제한 후에는 결제 수단 변경이 불가합니다. 상품이 아직 배송 전이라면 주문목록에서 주문을 취소한 후 원하는 결제 수단으로 다시 주문/결제해 주시기 바랍니다. 상품이 이미 배송을 시작했다면 배송 완료 후 반품을 접수해 주시기 바랍니다. 단 상품 배송 이후 단순 변심으로 반품할 경우 왕복 배송비가 부과될 수 있습니다.
 주문 취소하기
마이쿠팡 → 주문목록 → 상품선택 → [주문취소] 
이후 각 단계에 해당하는 항목을 선택하여 취소를 완료합니다.
 쿠페이 결제수단 관리하기
마이쿠팡 → 결제수단∙쿠페이 → [결제수단 관리] 
이후 원하는 결제수단을 등록 및 삭제합니다.
 단순 변심 반품 비용 (클릭)",ORDER,0
9,9,9,Q[쿠팡 와우카드] 쿠팡 와우카드란 무엇인가요?,"쿠팡 와우카드는 전월 실적과 관계없이 쿠팡캐시 혜택을 제공하는 신용카드입니다.
 만 19세 이상의 와우 멤버십 회원이라면 쿠팡 모바일 앱 내의 와우카드 신청 페이지에 접속하여 비대면 방식으로 카드 발급을 간편하게 신청할 수 있으며 카드 발급 심사 및 발급은 KB국민카드에서 진행합니다.
 쿠팡 와우카드 발급은 쿠팡 모바일 앱에서 노출되는 배너를 통해 신청할 수 있습니다. (PC와 모바일 웹사이트에서는 신청 불가)
 쿠팡 와우카드 신청 경로 (모바일 앱에서만 가능)
• 쿠팡 모바일 앱 : 마이쿠팡 → 결제수단∙쿠페이 → [와우카드] 신청 배너 선택
• 쿠팡 모바일 앱 : 마이쿠팡 → 쿠팡캐시∙기프트카드∙제휴포인트 → [와우카드] 신청 배너 선택
 이외에도 신청 배너는 쿠팡 모바일 내 여러 위치에 노출될 수 있으며 배너의 노출 위치는 고객마다 다를 수 있습니다. (노출 위치 : 마이쿠팡 / 상품 검색 페이지 / 상품 페이지 / 주문(구매) 완료 페이지)
 KB국민카드 와우카드 전용 상담센터) : ☎1644-6676 
일반 문의(카드 배송/해지 및 대금 청구/이용 한도 등 금융서비스 상담 등)
 쿠팡 와우카드 전담센터(쿠팡페이 고객센터) : ☎1670-9892 (365일 24시간 운영)",ORDER,0
